"STATION","NAME","DATE","DP01","DP10","DSNW","DT00","DT32","PRCP","SNOW","TAVG"
"USC00275702","NASHUA, NH US","1970","129","77",,"21","164","39.54",,"46.4"
"USC00275702","NASHUA, NH US","1971",,,,"20","174",,,"46.3"
"USC00275702","NASHUA, NH US","1972","135","92",,"10","179","52.20",,"45.2"
"USC00275702","NASHUA, NH US","1973","128","90",,"11","161","48.46",,"48.0"
"USC00275702","NASHUA, NH US","1974",,,,"6","179",,,"46.5"
"USC00275702","NASHUA, NH US","1975",,,,"11","162",,,"47.3"
"USC00275702","NASHUA, NH US","1976","130","75",,"19","176","37.39",,"45.7"
"USC00275702","NASHUA, NH US","1977","132","87",,"14","160","50.79",,"46.5"
"USC00275702","NASHUA, NH US","1978",,,,,,,,
"USC00275702","NASHUA, NH US","1979",,,,"13","152",,,"47.8"
"USC00275702","NASHUA, NH US","1980",,,,"10","168",,,"45.9"
"USC00275702","NASHUA, NH US","1981","126","84",,"12","167","46.96",,"47.1"
"USC00275702","NASHUA, NH US","1982",,,,"19","159",,,"45.8"
"USC00275702","NASHUA, NH US","1983",,,,"9","152",,,"48.0"
"USC00275702","NASHUA, NH US","1984","127","80","10","11","142","48.89","54.6","48.3"
"USC00275702","NASHUA, NH US","1985",,,,"5","148",,,"47.3"
"USC00275702","NASHUA, NH US","1986",,,,"3","150",,,"47.3"
"USC00275702","NASHUA, NH US","1987","112","68",,"8","160","41.48",,"47.6"
"USC00275702","NASHUA, NH US","1988",,,,"14","160",,,"47.5"
"USC00275702","NASHUA, NH US","1989",,,,"7","162",,,"46.8"
"USC00275702","NASHUA, NH US","1990",,,"16","2","133",,"44.4","49.6"
"USC00275702","NASHUA, NH US","1991","111","80",,"5","145","50.06",,"49.4"
"USC00275702","NASHUA, NH US","1992","115","78","9","4","157","37.70","20.3","46.6"
"USC00275702","NASHUA, NH US","1993","115","81",,,,"42.59",,
"USC00275702","NASHUA, NH US","1994",,,,"23","149",,,"46.8"
"USC00273658","GREENVILLE 1 NNE, NH US","1993","120","74","22",,,"45.94","102.4",
"USC00273658","GREENVILLE 1 NNE, NH US","1994","114","77","24",,,"50.80","86.3",
"USC00273658","GREENVILLE 1 NNE, NH US","1995","100","65","14",,,"43.91","59.4",
