"STATION","NAME","DATE","DP01","DP10","DT00","DT32","PRCP","SNOW","TAVG"
"USC00273658","GREENVILLE 1 NNE, NH US","2003","109","85",,,"54.10","104.4",
"USC00273658","GREENVILLE 1 NNE, NH US","2004","90","70",,,"42.79","40.0",
"USC00273658","GREENVILLE 1 NNE, NH US","2006","107","77",,,"56.16","35.6",
"USC00273658","GREENVILLE 1 NNE, NH US","2007","93","65",,,"42.46",,
"USC00273658","GREENVILLE 1 NNE, NH US","2009","99","90",,,"45.89",,
"USC00273658","GREENVILLE 1 NNE, NH US","2010","92","68",,,"44.17","58.5",
"USC00273658","GREENVILLE 1 NNE, NH US","2012",,,,,"44.09","51.4",
"USC00273658","GREENVILLE 1 NNE, NH US","2013",,,,,"40.71","108.2",
"USC00273658","GREENVILLE 1 NNE, NH US","2014","108","71","15","140","52.35","79.8","44.9"
"USC00275712","NASHUA 2 NNW, NH US","2003",,,,,,,
"USC00275712","NASHUA 2 NNW, NH US","2004",,,"15","148",,,"47.0"
"USC00275712","NASHUA 2 NNW, NH US","2005",,,"15","143",,"82.4","48.2"
"USC00275712","NASHUA 2 NNW, NH US","2006",,,,,,"23.2",
"USC00275712","NASHUA 2 NNW, NH US","2007",,,,,,"80.4",
"USC00275712","NASHUA 2 NNW, NH US","2008","129","116","3","156","80.28","76.1","47.9"
"USC00275712","NASHUA 2 NNW, NH US","2009","126","105","12","149","50.86","70.4","47.1"
"USC00275712","NASHUA 2 NNW, NH US","2010","102","71","0","137","43.63","32.4","50.1"
"USC00275712","NASHUA 2 NNW, NH US","2011","127","99","8","147","60.65",,"49.6"
"USC00275712","NASHUA 2 NNW, NH US","2012","127","94","2","136","42.83","28.5","51.4"
"USC00275712","NASHUA 2 NNW, NH US","2013","119","83","8","161","44.80","73.9","48.7"
"USC00275712","NASHUA 2 NNW, NH US","2014","123","91","13","155","49.39","59.9","47.4"
"USC00275412","MILFORD, NH US","2000",,,,,,"53.7",
"USC00275412","MILFORD, NH US","2001","121","65","0","166","34.70","78.5","48.6"
"USC00275412","MILFORD, NH US","2002","139","84",,,"44.79","50.5",
"USC00275412","MILFORD, NH US","2003","146","83","21","163","46.91","79.9","46.1"
"USC00275412","MILFORD, NH US","2004","134","81","16","155","44.31","32.6","46.6"
"USC00275412","MILFORD, NH US","2005","144","96","15","153","58.37","88.5","47.2"
"USC00275412","MILFORD, NH US","2007","132","78","5","161","43.57","65.8","46.9"
"USC00272302","EAST MILFORD, NH US","2009","136","99","11","162","53.78","64.7","46.7"
"USC00272302","EAST MILFORD, NH US","2010","127","73","0","149","44.75","41.7","49.8"
"USC00272302","EAST MILFORD, NH US","2011","125","90","13","156","59.67","79.0","48.5"
"USC00272302","EAST MILFORD, NH US","2012","140","85","4","139","40.18","33.9","50.5"
"USC00272302","EAST MILFORD, NH US","2013","122","73",,,"40.75","63.9",
"USC00272302","EAST MILFORD, NH US","2014","119","90","16","152","49.76","52.1","46.6"
"US1NHHL0055","NEW BOSTON 2.4 S, NH US","2013",,,,,"44.98",,
"US1NHHL0055","NEW BOSTON 2.4 S, NH US","2014",,,,,"54.89",,
"USC00273055","FRANCESTOWN, NH US","2009","136","99","16","166","55.14","93.3","44.3"
"USC00273055","FRANCESTOWN, NH US","2010",,,"3","166",,"65.9","47.4"
"USC00273055","FRANCESTOWN, NH US","2012",,,"5","156","40.97","47.2","48.0"
"USC00273055","FRANCESTOWN, NH US","2013",,,"7","177","41.15","105.6","45.4"
"USC00273055","FRANCESTOWN, NH US","2014","118","76",,,"56.62","69.3",
"US1NHHL0053","NASHUA 2.3 NE, NH US","2012","133","81",,,"37.39",,
"USC00274234","HUDSON 1 SSE, NH US","2000","142","90","15","155","50.76","56.6","46.2"
"USC00274234","HUDSON 1 SSE, NH US","2001","122","68","11","167","36.97",,"47.4"
"USC00274234","HUDSON 1 SSE, NH US","2002","136","92","1","175","45.31",,"48.3"
"USC00274234","HUDSON 1 SSE, NH US","2005","148","91","21","160","59.11",,"47.5"
"USC00274234","HUDSON 1 SSE, NH US","2006","138","82","4","153","56.01",,"49.2"
"USC00274234","HUDSON 1 SSE, NH US","2007","139","83","9","169","44.92",,"46.9"
"USC00274234","HUDSON 1 SSE, NH US","2008","162","104","9","172","62.57","74.3","47.0"
"USC00274234","HUDSON 1 SSE, NH US","2009","143","100","15","163","47.06","75.0","46.3"
"USC00274234","HUDSON 1 SSE, NH US","2010","124","75","3","153","44.06","45.8","49.4"
"USC00274234","HUDSON 1 SSE, NH US","2011","143","94","16","154","58.40","83.1","48.5"
"USC00274234","HUDSON 1 SSE, NH US","2012","139","84","3","142","38.32","37.5","50.3"
"USC00274234","HUDSON 1 SSE, NH US","2013","139","79","7","171","41.68","85.3","47.5"
"USC00274234","HUDSON 1 SSE, NH US","2014","129","85","22","158","45.38","66.2","46.6"
"USC00278973","WEARE 2 NE, NH US","2013",,,"15","187","48.26","89.1","44.5"
"USC00275013","EDWARD MACDOWELL LAKE, NH US","2014",,,,,"58.31","66.1",
"USC00275211","MASSABESIC LAKE, NH US","2000","95","79","27","206","39.91","27.0","43.2"
"USC00275211","MASSABESIC LAKE, NH US","2001","76","58",,,"29.34","63.5",
"USC00275211","MASSABESIC LAKE, NH US","2002","85","69","3","175","37.80","11.0","46.8"
"USC00275211","MASSABESIC LAKE, NH US","2003",,,,,,,
"USC00275211","MASSABESIC LAKE, NH US","2004",,,"12","132",,,"47.8"
"USC00275211","MASSABESIC LAKE, NH US","2005","121","92","15","133","53.78","50.0","48.5"
"USC00275211","MASSABESIC LAKE, NH US","2006",,,,,,,
"USC00275211","MASSABESIC LAKE, NH US","2008","133","102","6","153","61.50","59.1","47.5"
"USC00275211","MASSABESIC LAKE, NH US","2009","143","95","14","146","45.52","63.2","46.7"
"USC00275211","MASSABESIC LAKE, NH US","2010","115","79","2","136","42.10","24.2","49.7"
"USC00275211","MASSABESIC LAKE, NH US","2011","114","90","15","143","48.88",,"48.4"
"USC00275211","MASSABESIC LAKE, NH US","2012","104","78",,,"36.75",,
"USC00275211","MASSABESIC LAKE, NH US","2013","115","80",,,"43.25","72.2",
"USC00275211","MASSABESIC LAKE, NH US","2014","115","84",,,"41.92","57.4",
"USC00278972","WEARE, NH US","2000","125","96","13","158","51.31","67.2","44.4"
"USC00278972","WEARE, NH US","2001","106","66","5","172","34.53","100.3","45.9"
"USC00278972","WEARE, NH US","2002","120","89",,,"47.39","81.5",
"USC00278972","WEARE, NH US","2003",,,,,"52.62","104.5",
"USW00014710","MANCHESTER AIRPORT, NH US","2000","140","71",,,"40.85",,
"USW00014710","MANCHESTER AIRPORT, NH US","2001","114","63","2","141","29.72",,"49.5"
"USW00014710","MANCHESTER AIRPORT, NH US","2002","142","77","0","144","40.16",,"50.3"
"USW00014710","MANCHESTER AIRPORT, NH US","2003","145","85",,,"39.03",,
"USW00014710","MANCHESTER AIRPORT, NH US","2004","132","76","12","128","42.72",,"48.6"
"USW00014710","MANCHESTER AIRPORT, NH US","2005","143","94","5","133","55.58",,"49.6"
"USW00014710","MANCHESTER AIRPORT, NH US","2006","138","87","0","117","56.00",,"51.2"
"USW00014710","MANCHESTER AIRPORT, NH US","2007","129","75","0","140","38.92",,"49.0"
"USW00014710","MANCHESTER AIRPORT, NH US","2008","148","98","2","140","52.72",,"49.3"
"USW00014710","MANCHESTER AIRPORT, NH US","2009","137","86","4","129","46.27",,"48.6"
"USW00014710","MANCHESTER AIRPORT, NH US","2010","121","64","0","118","39.46",,"51.7"
"USW00014710","MANCHESTER AIRPORT, NH US","2011","138","85","3","130","48.28",,"50.4"
"USW00014710","MANCHESTER AIRPORT, NH US","2012","128","67","0","121","31.81",,"52.2"
"USW00014710","MANCHESTER AIRPORT, NH US","2013","123","65","2","136","33.81",,"49.8"
"USW00014710","MANCHESTER AIRPORT, NH US","2014","129","78","2","134","37.72",,"48.8"
"US1NHHL0005","NASHUA 2.4 E, NH US","2010","96","68",,,"42.09",,
"US1NHHL0048","GREENVILLE 1.1 ENE, NH US","2011","124","88",,,"67.35",,
"US1NHHL0048","GREENVILLE 1.1 ENE, NH US","2012","139","85",,,"45.33",,
"US1NHHL0048","GREENVILLE 1.1 ENE, NH US","2013","133","80",,,"46.02",,
"US1NHHL0048","GREENVILLE 1.1 ENE, NH US","2014","135","91",,,"55.16",,
