 ,Area,Mean,Min,Max,Angle,Length
1,0.013,93.973,54.903,111.348,1.029,0.599
2,0.014,117.645,91.333,126.667,-178.091,0.646
3,0.012,142.793,122.000,150.503,-1.095,0.563
4,0.023,150.602,129.667,158.750,1.193,1.032
5,0.033,151.106,131.667,162.667,0.000,1.527
6,0.033,148.336,124.000,157.667,0.818,1.505
7,0.035,137.282,113.000,154.333,0.764,1.613
8,0.026,141.994,112.667,157.333,0.000,1.204
9,0.027,137.598,123.333,147.643,0.498,1.237
10,0.025,123.586,100.333,132.538,-2.203,1.119
11,0.020,120.902,111.333,131.000,-1.364,0.903
12,0.021,141.080,117.333,150.000,0.000,0.968
13,0.025,116.922,100.333,127.000,2.121,1.162
14,0.024,119.281,98.333,134.000,0.000,1.075
15,0.019,123.548,99.667,135.333,0.000,0.882
16,0.016,126.363,113.667,135.000,0.000,0.710
17,0.014,128.767,105.500,140.267,0.000,0.634
18,0.014,132.960,110.667,142.218,0.988,0.624
19,0.021,134.685,112.333,144.122,-1.909,0.968
20,0.024,134.531,106.667,147.294,0.562,1.097
21,0.015,141.480,119.500,157.833,0.000,0.688
22,0.025,142.913,120.365,159.481,-0.556,1.108
23,0.024,139.746,118.882,150.562,-1.134,1.086
24,0.023,148.278,124.000,157.667,0.000,1.043
25,0.024,136.710,115.000,152.137,1.157,1.065
26,0.040,122.808,99.667,131.431,-1.011,1.828
27,0.049,117.864,92.500,133.602,-0.277,2.226
28,0.032,117.255,93.333,133.667,0.843,1.462
29,0.026,119.865,90.881,138.583,-0.512,1.204
30,0.020,121.602,87.667,138.667,0.000,0.925
31,0.017,113.270,81.431,135.981,0.830,0.742
32,0.027,109.064,79.956,128.807,0.000,1.215
33,0.018,122.695,98.917,144.465,1.507,0.817
34,0.017,111.165,90.874,125.383,-0.807,0.764
35,0.017,116.775,98.417,128.676,-2.420,0.764
36,0.018,111.524,92.824,130.704,-0.785,0.785
37,0.018,126.457,109.701,141.253,-2.291,0.807
38,0.022,121.778,90.333,135.891,-1.868,0.990
39,0.026,132.767,101.124,148.700,-1.562,1.183
40,0.017,118.017,94.349,129.094,-3.225,0.765
41,0.027,113.994,90.000,141.167,-3.483,1.239
42,0.033,117.912,81.047,140.254,0.000,1.516
43,0.028,106.178,61.667,134.604,-1.925,1.280
44,0.039,118.741,80.365,150.484,0.000,1.796
45,0.029,116.010,83.167,141.333,-0.470,1.312
46,0.041,108.576,75.052,139.885,-1.975,1.872
47,0.031,104.032,69.786,122.612,-2.153,1.431
48,0.025,113.061,73.778,141.555,-0.535,1.151
49,0.033,112.643,85.890,138.467,-0.818,1.505
50,0.025,114.099,80.333,134.667,0.000,1.140
51,0.037,123.581,82.306,137.541,-0.611,1.681
52,0.033,125.126,77.000,145.295,1.637,1.506
53,0.045,124.429,90.000,138.000,-1.181,2.086
54,0.048,113.541,78.871,139.524,-1.668,2.216
55,0.055,128.982,102.045,151.675,-0.963,2.559
56,0.049,131.793,103.391,146.974,-1.102,2.237
57,0.041,134.896,103.000,161.506,-0.550,1.867
58,0.039,133.855,113.357,145.167,-2.045,1.808
59,0.037,133.180,102.333,144.892,-0.716,1.721
